mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,0,0
18.0,8,307.0,130.0,3504,12.0,70,1,31.6,28.344715
15.0,8,350.0,165.0,3693,11.5,70,1,18.0,20.622665
18.0,8,318.0,150.0,3436,11.0,70,1,18.5,15.939428
16.0,8,304.0,150.0,3433,12.0,70,1,28.0,27.071056
17.0,8,302.0,140.0,3449,10.5,70,1,19.0,26.126064
15.0,8,429.0,198.0,4341,10.0,70,1,30.0,27.348389
14.0,8,454.0,220.0,4354,9.0,70,1,21.5,25.064316
14.0,8,440.0,215.0,4312,8.5,70,1,32.7,24.702698
14.0,8,455.0,225.0,4425,10.0,70,1,15.0,12.359777
15.0,8,390.0,190.0,3850,8.5,70,1,26.0,29.610659
15.0,8,383.0,170.0,3563,10.0,70,1,23.8,23.857136
14.0,8,340.0,160.0,3609,8.0,70,1,15.5,13.403875
15.0,8,400.0,150.0,3761,9.5,70,1,19.0,18.309706
14.0,8,455.0,225.0,3086,10.0,70,1,14.5,12.753645
24.0,4,113.0,95.0,2372,15.0,70,3,15.0,20.740326
22.0,6,198.0,95.0,2833,15.5,70,1,15.0,18.740068
18.0,6,199.0,97.0,2774,15.5,70,1,18.0,17.316622
21.0,6,200.0,85.0,2587,16.0,70,1,26.0,28.389288
27.0,4,97.0,88.0,2130,14.5,70,3,34.1,32.021843
26.0,4,97.0,46.0,1835,20.5,70,2,36.0,30.37573
25.0,4,110.0,87.0,2672,17.5,70,2,15.5,14.438284
24.0,4,107.0,90.0,2430,14.5,70,2,21.1,26.984905
25.0,4,104.0,95.0,2375,17.5,70,2,22.0,20.161842
26.0,4,121.0,113.0,2234,12.5,70,2,14.0,11.403036
21.0,6,199.0,90.0,2648,15.0,70,1,17.5,18.690447
10.0,8,360.0,215.0,4615,14.0,70,1,21.0,25.529966
10.0,8,307.0,200.0,4376,15.0,70,1,19.0,24.008093
11.0,8,318.0,210.0,4382,13.5,70,1,28.0,26.170195
9.0,8,304.0,193.0,4732,18.5,70,1,16.0,17.246286
27.0,4,97.0,88.0,2130,14.5,71,3,21.0,21.146612
28.0,4,140.0,90.0,2264,15.5,71,1,28.0,25.625406
25.0,4,113.0,95.0,2228,14.0,71,3,16.0,12.867792
25.0,4,98.0,93.5,2046,19.0,71,1,31.0,27.279615
19.0,6,232.0,100.0,2634,13.0,71,1,41.5,29.36192
16.0,6,225.0,105.0,3439,15.5,71,1,23.0,24.541714
17.0,6,250.0,100.0,3329,15.5,71,1,32.9,27.7206
19.0,6,250.0,88.0,3302,15.5,71,1,19.8,23.63115
18.0,6,232.0,100.0,3288,15.5,71,1,39.0,31.371054
14.0,8,350.0,165.0,4209,12.0,71,1,16.5,15.667597
14.0,8,400.0,175.0,4464,11.5,71,1,32.1,28.948252
14.0,8,351.0,153.0,4154,13.5,71,1,25.0,25.87787
14.0,8,318.0,150.0,4096,13.0,71,1,27.0,28.105877
12.0,8,383.0,180.0,4955,11.5,71,1,13.0,19.101091
13.0,8,400.0,170.0,4746,12.0,71,1,29.0,28.853071
13.0,8,400.0,175.0,5140,12.0,71,1,30.0,28.217047
18.0,6,258.0,110.0,2962,13.5,71,1,16.0,11.381372
22.0,4,140.0,72.0,2408,19.0,71,1,31.0,31.36648
19.0,6,250.0,100.0,3282,15.0,71,1,21.0,22.085426
18.0,6,250.0,88.0,3139,14.5,71,1,27.0,25.26469
23.0,4,122.0,86.0,2220,14.0,71,1,36.0,30.464706
28.0,4,116.0,90.0,2123,14.0,71,2,30.0,26.6128
30.0,4,79.0,70.0,2074,19.5,71,2,31.0,33.183025
30.0,4,88.0,76.0,2065,14.5,71,2,28.1,24.257105
31.0,4,71.0,65.0,1773,19.0,71,3,11.0,10.901033
35.0,4,72.0,69.0,1613,18.0,71,3,17.0,14.586462
27.0,4,97.0,60.0,1834,19.0,71,2,27.0,29.136463
26.0,4,91.0,70.0,1955,20.5,71,1,16.0,19.13214
24.0,4,113.0,95.0,2278,15.5,72,3,20.0,23.166382
25.0,4,97.5,80.0,2126,17.0,72,1,32.0,27.14839
23.0,4,97.0,54.0,2254,23.5,72,2,13.0,12.073572
20.0,4,140.0,90.0,2408,19.5,72,1,37.0,28.471708
21.0,4,122.0,86.0,2226,16.5,72,1,22.3,24.031746
13.0,8,350.0,165.0,4274,12.0,72,1,32.0,30.376638
14.0,8,400.0,175.0,4385,12.0,72,1,17.5,15.473684
15.0,8,318.0,150.0,4135,13.5,72,1,32.0,27.20909
14.0,8,351.0,153.0,4129,13.0,72,1,13.0,15.777945
17.0,8,304.0,150.0,3672,11.5,72,1,16.5,17.661497
11.0,8,429.0,208.0,4633,11.0,72,1,26.0,24.627716
13.0,8,350.0,155.0,4502,13.5,72,1,18.1,19.569677
12.0,8,350.0,160.0,4456,13.5,72,1,34.3,29.542004
13.0,8,400.0,190.0,4422,12.5,72,1,44.0,33.67028
19.0,3,70.0,97.0,2330,13.5,72,3,28.0,25.341345
15.0,8,304.0,150.0,3892,12.5,72,1,31.0,30.5711
13.0,8,307.0,130.0,4098,14.0,72,1,37.0,33.033066
13.0,8,302.0,140.0,4294,16.0,72,1,36.1,29.8437
14.0,8,318.0,150.0,4077,14.0,72,1,15.0,14.027967
18.0,4,121.0,112.0,2933,14.5,72,2,26.0,26.2417
22.0,4,121.0,76.0,2511,18.0,72,2,13.0,11.748461
